from,to,relationship,year
tl,Ausamt,1,2021
jb,Bm_Bi,1,2021
ft,Bm_Fi,1,2021
bs,Bm_Ju,1,2021
ck,Bm_Um,1,2021
rss,Bm_Um,1,2013
fb,Bm_Wi,1,2021
rss,AG_so,2,1999
fb,Au_An,2,2013
ck,Au_Ba,2,2017
jb,Au_Bi,2,2017
fb,Au_Fa,2,2013
jb,Au_Fa,2,2017
ft,Au_In,2,2017
bs,Au_In,2,2017
ck,Au_Ku,2,2013
ck,Au_Re,2,2017
ck,Au_Um,2,2013
co,Au_Ve,2,2018
ck,Au_Ve,2,2013
ft,Au_Wa,2,2017
fb,Ausaus,2,2013
tl,Ba_Im,2,2017
fb,Df_Ar,2,2017
fb,Df_Pa,2,2017
tl,Dk_Pa,2,2013
jb,Enqu,2,2017
fb,Eu_Pa,2,2009
co,Eu_Pa,2,2004
mat,Eu_Pa,2,2009
ft,F_aus,2,2017
ft,F_mar,2,2005
ft,FDP_Be,2,2003
bs,FDP_DV,2,2014
mat,FDP_DV,2,2006
mat,FDP_Fr,2,2017
mat,FDP_Kf,2,1999
ft,FDP_Kv,2,2008
mat,FDP_Vo,2,2003
fb,GJ,2,1997
fb,GJ_BW,2,1996
ft,Geme,2,2017
ft,H_Aus,2,2009
ck,H_Aus,2,2017
mat,H_Kon,2,2011
tl,H_Kon,2,2013
jb,JuLi_BW,2,2010
ft,JuLi_BW,2,2003
ck,Koal,2,2011
ft,Kr_Bo,2,2009
rss,Kt_Wa,2,2004
tl,Kve_G,2,2002
ck,Kvo_T,2,2002
mat,L_FDP,2,1991
bs,L_FDP,2,2013
tl,L_GJ,2,1999
ck,L_Gru,2,2007
bs,L_JuLi,2,2010
rss,L_SPD,2,2007
ck,L_Sue,2,2009
bs,Landk,2,2018
mat,Landt,2,2001
ft,Lfac,2,2011
fb,P_Beg,2,2017
tl,P_Ver,2,2017
tl,Rech,2,2013
rss,Regi,2,2005
ft,Rich,2,2020
rss,SPDK,2,2001
fb,UNCo,2,2000
fb,Entw,2,
fb,Untera,2,2013
bs,Unters,2,2017
ft,Verm,2,2017
tl,Verte,2,2013
tl,Vertr,2,2017
tl,W_Aus,2,2012
tl,AG_in,3,2013
co,Agor,3,2017
co,Amer,3,2013
bs,Amne,3,2011
fb,Asyl,3,2017
co,Atla,3,2017
fb,Avan,3,2013
co,Avic,3,2013
ck,Bs_Ba,3,2017
jb,Bs_Ma,3,2018
co,Bv_mi,3,2013
jb,De_Ai,3,2019
rss,De_Bu,3,
tl,De_In,3,2013
jb,De_St,3,2017
ck,De_Un,3,2017
fb,Df_In,3,2017
tl,Dg_Fo,3,2017
co,DSID,3,2017
co,Dt_Fo,3,2013
mat,Dual,3,2004
fb,Eu_Be,3,2017
fb,Eu_Co,3,2017
fb,Eu_Po,3,2017
rss,EURO,3,
co,FCPl,3,2017
tl,Freu,3,2017
fb,Frien,3,2017
co,G_Stu,3,2017
ft,G_Stu,3,
co,Germ,3,2003
tl,Germe,3,2013
co,Hein,3,2017
rss,Hosp,3,
fb,Huma,3,2017
fb,I_Eur,3,2017
co,Ichk,3,2013
ft,Kred,3,2019
rss,Kred,3,
jb,Libe,3,2017
ck,ProR,3,2017
mat,Rein,3,2004
co,S_Ged,3,2017
co,S_Neu,3,2013
ft,S_Ver,3,
co,STAR,3,2017
co,Theo,3,2013
mat,Theo,3,2004
co,Turk,3,2013
fb,TW_Eu,3,2017
fb,TW_St,3,2017
jb,V_pri,3,2017
ck,V_Woh,3,2017
mat,Verb,3,2004
fb,Vere,3,2017
rss,W_For,3,
co,W_Ges,3,
mat,Wolf,3,2004
jb,Youn,3,2017
fb,Bs_Mu,4,2017
rss,G_Anl,4,
co,I_Fre,4,2017
co,I_Mob,4,2017
fb,Jacq,4,2017
ck,SWR,4,2013
co,ZDF,4,2013
fb,Zent,4,2017
fb,Bert,6,
ft,Fres,6,2014
tl,Karl,6,2007
mat,Schw,6,1990
fb,StAn,6,2006
jb,TheB,6,
co,Ulls,6,2017
fb,Uni_Man,6,2010
rss,Albe,7,1983
ft,Camb,7,2002
fb,Colu,7,2004
ft,Eber,7,2012
ck,Eber,7,2009
co,Evan,7,1994
fb,I_Etu,7,2004
bs,Landg,7,2012
jb,Luth,7,2002
ft,Uni_Hei,7,2003
tl,Uni_Kar,7,2002
bs,Uni_Kon,7,2006
jb,Uni_Man,7,2005
ft,Uni_Reg,7,2000
rss,Uni_Zue,7,1983
