id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
Agor,,Agora Verkehrswende Smart Energy for Europe Plattform,1,,,,,,,,,,,,
Albe,,Albert-Ludwigs-Universitaet Freiburg,1,,,,,,,,,,,,
Amer,,American Jewish Committee,1,,,,,,,,,,,,
Amne,,Amnesty International,1,,,,,,,,,,,,
AG_in,,Arbeitsgemeinschaft industrieller Forschungsvereinigungen Otto von Guericke,1,,,,,,,,,,,,
AG_so,,Arbeitsgemeinschaft Sozialdemokratischer Frauen Kreisverband Waldshut,1,,,,,,,,,,,,
Asyl,,Asylos,1,,,,,,,,,,,,
Atla,,Atlantische Initiative,1,,,,,,,,,,,,
Au_Ba,,"Ausschuss fuer Bau, Wohnen, Stadtentwicklung und Kommunen",1,,,,,,,,,,,,
Au_Bi,,"Ausschuss fuer Bildung, Forschung und Technikfolgenabschaetzung",1,,,,,,,,,,,,
Au_An,,Ausschuss fuer die Angelegenheiten der Europaeischen Union,1,,,,,,,,,,,,
Au_Fa,,"Ausschuss fuer Familie, Senioren, Frauen und Jugend",1,,,,,,,,,,,,
Au_In,,Ausschuss fuer Inneres und Heimat,1,,,,,,,,,,,,
Au_Ku,,Ausschuss fuer Kultur und Medien,1,,,,,,,,,,,,
Au_Re,,Ausschuss fuer Recht und Verbraucherschutz,1,,,,,,,,,,,,
Au_Um,,"Ausschuss fuer Umwelt, Naturschutz und nukleare Sicherheit",1,,,,,,,,,,,,
Au_Ve,,Ausschuss fuer Verkehr und digitale Infrastruktur,1,,,,,,,,,,,,
Au_Wa,,"Ausschuss fuer Wahlpruefung, Immunitaet und Geschaeftsordnung",1,,,,,,,,,,,,
Ausaus,,Auswaertiger Ausschuss,1,,,,,,,,,,,,
Ausamt,,Auswaertiges Amt,1,,,,,,,,,,,,
Avan,,Avanti Europe,1,,,,,,,,,,,,
Avic,,Avicenna-Studienwerk,1,,,,,,,,,,,,
bs,Strasser,Benjamin Strasser,0,1,1987,1,3,4,3,1,0,2,2,1,4
Bert,,Bertelsmann Stiftung,1,,,,,,,,,,,,
Ba_Im,,Bundesanstalt fuer Immobilienaufgaben,1,,,,,,,,,,,,
Bm_Fi,,Bundesministerium der Finanzen,1,,,,,,,,,,,,
Bm_Ju,,Bundesministerium der Justiz,1,,,,,,,,,,,,
Bm_Bi,,Bundesministerium fuer Bildung und Forschung,1,,,,,,,,,,,,
Bm_Er,,Bundesministerium fuer Ernaehrung und Landwirtschaft,1,,,,,,,,,,,,
Bm_Um,,"Bundesministerium fuer Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",1,,,,,,,,,,,,
Bm_Wi,,Bundesministerium fuer Wirtschaft und Klimaschutz,1,,,,,,,,,,,,
Bs_Ba,,Bundesstiftung Baukultur,1,,,,,,,,,,,,
Bs_Ma,,Bundesstiftung Magnus Hirschfeld,1,,,,,,,,,,,,
Bs_Mu,,Bundesstiftung Mutter und Kind,1,,,,,,,,,,,,
Bv_mi,,Bundesverband mittelstaendische Wirtschaft,1,,,,,,,,,,,,
Camb,,Cambridge University,1,,,,,,,,,,,,
co,Oezdemir,Cem Oezdemir,0,1,1965,2,2,3,2,3,2,4,3,4,
ck,Kuehn,Chris Kuehn,0,1,1979,1,4,1,2,2,3,1,1,1,2
Colu,,Columbia University,1,,,,,,,,,,,,
Df_Ar,,Deutsch-franzoesische Arbeitsgruppe zum Élysée-Vertrag,1,,,,,,,,,,,,
Df_Pa,,Deutsch-Franzoesische Parlamentarische Versammlung,1,,,,,,,,,,,,
Df_In,,Deutsch-Franzoesisches Institut,1,,,,,,,,,,,,
Dg_Fo,,"Deutsch-Georgisches Forum für Politik, Wirtschaft und Kultur",1,,,,,,,,,,,,
Dk_Pa,,Deutsch-Kanadische Parlamentariergruppe,1,,,,,,,,,,,,
Dt_Fo,,Deutsch-Tuerkisches Forum Stuttgart,1,,,,,,,,,,,,
De_Ai,,Deutsche AIDS-Stiftung,1,,,,,,,,,,,,
De_Bu,,Deutsche Bundesstiftung Umwelt,1,,,,,,,,,,,,
De_In,,Deutsche Industrieforschungsgemeinschaft Konrad Zuse,1,,,,,,,,,,,,
De_Un,,Deutsche Unternehmensinitiative Energieeffizienz,1,,,,,,,,,,,,
De_St,,Deutsches Studentenwerk,1,,,,,,,,,,,,
DSID,,DSI Deutschlandstiftung Integration,1,,,,,,,,,,,,
Dual,,Duale Hochschule BW Loerrach,1,,,,,,,,,,,,
Eber,,Eberhard Karls Universitaet Tuebingen,1,,,,,,,,,,,,
Enqu,,Enquete-Kommission Berufliche Bildung,1,,,,,,,,,,,,
Entw,,Entwicklungsfond der Vereinten Nationen für Frauen,1,,,,,,,,,,,,
Eu_Be,,Europaeische Bewegung Deutschland,1,,,,,,,,,,,,
Eu_Pa,,Europaeisches Parlament,1,,,,,,,,,,,,
Eu_Co,,European Council on Foreign Relations,1,,,,,,,,,,,,
Eu_Po,,European Policy Centre,1,,,,,,,,,,,,
EURO,,EUROSOLAR Europaeische Vereinigung für Erneuerbare Energien,1,,,,,,,,,,,,
Evan,,Evangelische Fachhochschule für Sozialwesen,1,,,,,,,,,,,,
FCPl,,FC Play Fair Verein fuer Integritaet und Nachhaltigkeit im Fußball,1,,,,,,,,,,,,
FDP_DV,,FDP DVP Landtagsfraktion,1,,,,,,,,,,,,
FDP_Be,,FDP-Bezirksvorstand Region Stuttgart ,1,,,,,,,,,,,,
FDP_Fr,,FDP-Bundestagsfraktion,1,,,,,,,,,,,,
FDP_Vo,,FDP-Bundesvorstand,1,,,,,,,,,,,,
FDP_Kf,,FDP-Kreistagsfraktion Freudenstadt,1,,,,,,,,,,,,
FDP_Kv,,FDP-Kreisverband Boeblingen,1,,,,,,,,,,,,
F_aus,,Finanzausschuss,1,,,,,,,,,,,,
F_mar,,Finanzmarktgremium,1,,,,,,,,,,,,
ft,Toncar,Florian Toncar,0,1,1979,1,1,4,3,2,3,2,2,1,3
fb,Brantner,Franziska Brantner,0,2,1979,1,1,1,2,,1,3,2,1,1
Fres,,Freshfields Bruckhaus Deringer,1,,,,,,,,,,,,
Freu,,Freundeskreis Givat Haviva Deutschland,1,,,,,,,,,,,,
Frien,,Friends of Europe,1,,,,,,,,,,,,
Geme,,Gemeinsamer Ausschuss,1,,,,,,,,,,,,
Germ,,German Marshall Fund of the US,1,,,,,,,,,,,,
Germe,,Germersheim Europa-Union Deutschland,1,,,,,,,,,,,,
G_Anl,,Gesellschaft für Anlagen- und Reaktorsicherheit,1,,,,,,,,,,,,
G_Stu,,Gesellschaft zum Studium strukturpolitischer Fragen,1,,,,,,,,,,,,
